,Primary Fur Color
1557,Cinnamon
1558,Gray
1559,Cinnamon
1560,Cinnamon
1561,Gray
1562,Gray
1563,Gray
1564,Gray
1565,Gray
1566,Gray
1567,Gray
1568,Gray
1569,Gray
1570,Gray
1571,Cinnamon
1572,Gray
1573,Gray
1574,Gray
1575,Gray
1576,Cinnamon
1577,Gray
1578,Gray
1579,Gray
1580,Gray
1581,Gray
1582,Gray
1583,Gray
1584,Gray
1585,Gray
1586,Gray
1587,Gray
1588,Gray
1589,Gray
1590,Gray
1591,Gray
1592,Gray
1593,Gray
1594,Gray
1595,Gray
1596,Gray
1597,Gray
1598,Gray
1599,Gray
1600,Cinnamon
1601,Gray
1602,Gray
1603,Gray
1604,Cinnamon
1605,Gray
1606,
1607,Gray
1608,Gray
1609,Gray
1610,Gray
1611,Gray
1612,Gray
1613,Gray
1614,Gray
1615,Gray
1616,Cinnamon
1617,Gray
1618,Cinnamon
1619,Gray
1620,Gray
1621,Gray
1622,
1623,Gray
1624,Gray
1625,Gray
1626,Gray
1627,Gray
1628,Gray
1629,Gray
1630,Cinnamon
1631,Gray
1632,Gray
1633,Gray
1634,Gray
1635,Cinnamon
1636,Gray
1637,Gray
1638,Gray
1639,Cinnamon
1640,Gray
1641,Gray
1642,Gray
1643,Gray
1644,Gray
1645,Gray
1646,Gray
1647,Gray
1648,Gray
1649,Cinnamon
1650,Gray
1651,Cinnamon
1652,Gray
1653,
1654,Gray
1655,Gray
1656,Gray
1657,Gray
1658,Gray
1659,Gray
1660,Gray
1661,Gray
1662,Gray
1663,Gray
1664,Gray
1665,Gray
1666,Gray
1667,Gray
1668,Gray
1669,Gray
1670,Gray
1671,Gray
1672,Gray
1673,Gray
1674,Gray
1675,Gray
1676,Gray
1677,Gray
1678,Gray
1679,Cinnamon
1680,Gray
1681,Gray
1682,Cinnamon
1683,Gray
1684,Gray
1685,Gray
1686,Gray
1687,
1688,Gray
1689,Gray
1690,Gray
1691,Gray
1692,Gray
1693,Gray
1694,Gray
1695,Gray
1696,Gray
1697,Gray
1698,Gray
1699,Gray
1700,Gray
1701,Gray
1702,Gray
1703,Gray
1704,Gray
1705,Gray
1706,Gray
1707,Gray
1708,Gray
1709,Gray
1710,Gray
1711,Cinnamon
1712,Gray
1713,Gray
1714,Gray
1715,Cinnamon
1716,Gray
1717,Gray
1718,Gray
1719,Gray
1720,Gray
1721,Gray
1722,Gray
1723,Gray
1724,Cinnamon
1725,Gray
1726,Gray
1727,Gray
1728,Gray
1729,Gray
1730,Gray
1731,Gray
1732,Gray
1733,Gray
1734,Gray
1735,Gray
1736,Gray
1737,Gray
1738,Cinnamon
1739,Cinnamon
1740,Black
1741,Gray
1742,Gray
1743,Gray
1744,Gray
1745,Gray
1746,Gray
1747,Gray
1748,Cinnamon
1749,Gray
1750,Gray
1751,Gray
1752,Gray
1753,Gray
1754,
1755,Gray
1756,Gray
1757,Gray
1758,Gray
1759,Gray
1760,Gray
1761,Gray
1762,Cinnamon
1763,
1764,Gray
1765,Gray
1766,Gray
1767,Gray
1768,Gray
1769,Gray
1770,Gray
1771,Cinnamon
1772,Gray
1773,Gray
1774,Cinnamon
1775,Gray
1776,Gray
1777,
1778,Gray
1779,Gray
1780,Gray
1781,Gray
1782,Gray
1783,Gray
1784,Gray
1785,Gray
1786,Gray
1787,Gray
1788,Gray
1789,Gray
1790,Gray
1791,Gray
1792,Gray
1793,Gray
1794,Gray
1795,Gray
1796,Gray
1797,Gray
1798,Cinnamon
1799,Gray
1800,Gray
1801,Gray
1802,Gray
1803,Gray
1804,Gray
1805,Gray
1806,Gray
1807,Cinnamon
1808,Gray
1809,Gray
1810,Gray
1811,Gray
1812,Gray
1813,Gray
1814,Gray
1815,Cinnamon
1816,Gray
1817,Gray
1818,Gray
1819,Gray
1820,Gray
1821,Cinnamon
1822,Gray
1823,Gray
1824,Gray
1825,Gray
1826,Gray
1827,Gray
1828,Gray
1829,Gray
1830,Gray
1831,Cinnamon
1832,Black
1833,Gray
1834,Gray
1835,Gray
1836,Gray
1837,Gray
1838,Gray
1839,Gray
1840,Gray
1841,
1842,Cinnamon
1843,Gray
1844,Black
1845,Cinnamon
1846,Gray
1847,Gray
1848,Gray
1849,Gray
1850,Gray
1851,Gray
1852,Gray
1853,Gray
1854,Cinnamon
1855,Gray
1856,Gray
1857,Gray
1858,Gray
1859,Gray
1860,Gray
1861,Gray
1862,Gray
1863,Gray
1864,Gray
1865,Gray
1866,Gray
1867,Gray
1868,Gray
1869,Gray
1870,Cinnamon
1871,Gray
1872,Gray
1873,Gray
1874,Gray
1875,Gray
1876,Gray
1877,Gray
1878,Gray
1879,Gray
1880,Gray
1881,Gray
1882,Gray
1883,Gray
1884,Gray
1885,Gray
1886,Black
1887,Gray
1888,Cinnamon
1889,Gray
1890,Cinnamon
1891,Black
1892,Gray
1893,Gray
1894,Gray
1895,Gray
1896,Gray
1897,Gray
1898,Gray
1899,Gray
1900,Gray
1901,Gray
1902,Gray
1903,Gray
1904,Gray
1905,Gray
1906,Gray
1907,Gray
1908,Cinnamon
1909,Gray
1910,Gray
1911,Gray
1912,Gray
1913,Gray
1914,Gray
1915,Cinnamon
1916,Gray
1917,Gray
1918,Gray
1919,Gray
1920,Gray
1921,Gray
1922,Gray
1923,Gray
1924,Gray
1925,Gray
1926,Gray
1927,Gray
1928,Gray
1929,Gray
1930,
1931,Cinnamon
1932,Gray
1933,Gray
1934,Gray
1935,Gray
1936,Gray
1937,Black
1938,Cinnamon
1939,Gray
1940,Gray
1941,Gray
1942,Gray
1943,Gray
1944,Gray
1945,Gray
1946,Cinnamon
1947,Gray
1948,Gray
1949,Gray
1950,Gray
1951,Gray
1952,Gray
1953,Gray
1954,Gray
1955,Gray
1956,Gray
1957,Gray
1958,Black
1959,Gray
1960,Cinnamon
1961,Gray
1962,Gray
1963,Gray
1964,Gray
1965,Cinnamon
1966,Gray
1967,Gray
1968,Gray
1969,Gray
1970,Gray
1971,Gray
1972,Gray
1973,Gray
1974,Gray
1975,Gray
1976,Gray
1977,Gray
1978,Black
1979,Gray
1980,Gray
1981,Cinnamon
1982,Gray
1983,Gray
1984,Gray
1985,Gray
1986,Gray
1987,Gray
1988,Gray
1989,Gray
1990,Gray
1991,Gray
1992,
1993,Gray
1994,Gray
1995,Gray
1996,Gray
1997,Gray
1998,Gray
1999,Gray
2000,Cinnamon
2001,Gray
2002,Gray
2003,Gray
2004,Cinnamon
2005,Gray
2006,Cinnamon
2007,Cinnamon
2008,Cinnamon
